,text,embeddings,distances
22,"February 9 – The biggest breakthrough in fusion energy since 1997 is reported at the Joint European Torus in Oxford, the UK, with 59 megajoules produced over five seconds (11 megawatts of power), more than double the previous record.","[-0.01088276 -0.01674982 -0.01147013 ...  0.0012597   0.00774795
 -0.01285605]",0.28309850999376207
23,"February 21 – February 24 – Russian President Vladimir Putin signs a decree declaring the Luhansk People's Republic and Donetsk People's Republic as independent from Ukraine, and, despite international condemnation and sanctions, begins a full-scale invasion of Ukraine; at dawn on 24 February missiles strike Kyiv. Ukraine severs diplomatic relations with Russia, followed by the Federated States of Micronesia on 25 February.","[-0.01189002 -0.00686654  0.00487711 ...  0.00702623  0.02730647
  0.01104501]",0.12138305461205379
24,"February 26 – Russian invasion of Ukraine: The EU, US, and their allies commit to removing Russian banks from the SWIFT payment system, as well as imposing measures on the Russian Central Bank and further restrictions on Russian elites. These and other sanctions fuel a financial crisis in Russia.","[-0.01324518 -0.02056471  0.01325166 ...  0.00226426  0.0241953
 -0.00697592]",0.14701911834980363
25,"February 27 – Russian invasion of Ukraine: Putin orders Russia's nuclear deterrent forces to be on ""special alert"", their highest level, in response to what he calls ""aggressive statements"" by NATO. The move is condemned by the US.","[-0.01825458 -0.03136703  0.00758465 ... -0.00167762  0.02346099
  0.00288924]",0.13766803967927976
26,February 27 – Russian invasion of Ukraine: European nations ban Russian flights in their airspace.,"[-0.00622401 -0.02175405  0.02186762 ...  0.01451111  0.02241021
 -0.00599688]",0.13844884944578917
27,"February 27 – In a constitutional referendum, Belarus votes to revoke its non-nuclear status and to allow the country to host Russian forces permanently.","[-0.00984346 -0.00278844  0.00529288 ...  0.01909309  0.01255445
 -0.01776342]",0.1798042408273689
28,"February 28 – The Intergovernmental Panel on Climate Change (IPCC) releases the second part of its Sixth Assessment Report on climate change. It concludes that many impacts are on the verge of becoming ""irreversible"".","[-0.01411414 -0.01224685  0.00571777 ...  0.01967738 -0.01811916
 -0.026992  ]",0.271475278109114
29,"February 28 – Russian invasion of Ukraine: Russian and Ukrainian officials meet on the Belarus-Ukraine border for the first round of peace talks, with no resolution.","[-0.01181197 -0.00887162  0.00911823 ...  0.00774607  0.01521392
 -0.00268899]",0.1259842810702715
30,February 28 – Russian invasion of Ukraine: Football governing bodies FIFA and UEFA suspend Russian clubs and national teams from all competitions.,"[ 0.00669765 -0.01818023  0.01373617 ...  0.00283119  0.01859686
 -0.00315629]",0.15641151851980217
31,"February 28 – 2022 Russian financial crisis: In an unprecedented move, Switzerland, Monaco, Singapore and South Korea impose unilateral sanctions over Russia including the introduction of export controls and asset freezes.","[-0.01182519 -0.02811197  0.00397792 ...  0.01920195  0.03055992
  0.00460636]",0.19414521627500747
32,March 1 – Russian invasion of Ukraine: World Athletics bans both Russia and Belarus from competing in all of its events.,"[-0.0021207  -0.00788697  0.0038666  ...  0.00320989  0.0103088
 -0.00535302]",0.16554700161521674
33,"March 1 – Russian invasion of Ukraine: In an emergency session, United Nations member states pass a resolution deploring Russia's invasion of Ukraine and calling for the immediate withdrawal of its forces.","[-0.00760538 -0.01613809  0.00349358 ... -0.00247771  0.02748499
 -0.00361594]",0.12620714465184235
34,"March 2 – Russian invasion of Ukraine: Russia captures its first large city, the Black Sea port of Kherson, as shelling intensifies across many parts of Ukraine, including civilian areas.","[ 0.00069361 -0.01837528  0.01264494 ...  0.01607041  0.01424944
  0.01862996]",0.10917997938278867
35,March 2 – Russian invasion of Ukraine: The United Nations reports that over a million refugees have now fled from Ukraine to other countries.,"[-0.00984295 -0.01625896  0.00714582 ...  0.00346185  0.00223069
 -0.0029018 ]",0.13501440729875203
36,March 2 – The International Criminal Court begins an investigation into possible war crimes committed by Russia in Ukraine.,"[ 0.00361316 -0.00585261  0.00990983 ...  0.0196152   0.01231221
 -0.00109257]",0.15473786511549736
37,Russian invasion of Ukraine: Russia is condemned by world leaders following an attack by its troops on the Zaporizhzhia nuclear plant – the largest in Europe – which led to a fire at the site.,"[ 0.00038552 -0.03458611  0.0128227  ...  0.01138374  0.01053316
 -0.01030932]",0.1472285357088602
38,"March 3 – The National Assembly of Armenia elects incumbent minister of High-Tech Industry and former mayor of Yerevan, Vahagn Khachaturyan, as president of Armenia following the resignation of Armen Sarkissian.","[-0.00547931 -0.0060253  -0.01574009 ... -0.00788943  0.01170169
  0.00223243]",0.24189311380847667
39,"March 4 – March 13 – The 2022 Winter Paralympics are held in Beijing, China, making it the first city to host both Summer Paralympics and Winter Paralympics.","[-0.0061106  -0.02274038 -0.00854844 ... -0.00315448 -0.01330894
 -0.0091627 ]",0.2612882115143508
40,"March 4 – Insurgency in Khyber Pakhtunkhwa: An Afghan man on behalf of the Islamic State – Khorasan Province commits a suicide attack at a Shia mosque in Peshawar, Khyber Pakhtunkhwa, Pakistan, killing 63 people.","[-0.0160927  -0.00040921  0.01281742 ...  0.01359111  0.00967109
 -0.01309466]",0.21810348076039188
41,"March 5 – Researchers in the Antarctic find Endurance, one of the greatest ever undiscovered shipwrecks, which sank in 1915 during Ernest Shackleton's exploration.","[-0.00696187 -0.00776592  0.00062101 ...  0.00355938 -0.00080568
 -0.01958475]",0.26763825865411306
42,March 7 – COVID-19 pandemic: The global death toll from COVID-19 surpasses 6 million.,"[ 0.00571926 -0.00609683  0.00423064 ... -0.00013617  0.00630727
 -0.02579855]",0.2699269372949805
